,text,hashtags,urls
0,"We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. @CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #StayHome https://t.co/DbDhR9nqxG","['iotacommunity', 'wirvsvirus']","['https://twitter.com/i/web/status/1242113796405186560', 'https://twitter.com/CryptoNewsFlas3/status/1242027963929047042']"
1,"We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #StayHome https://t.co/MRX7tUzUzc","['iotacommunity', 'wirvsvirus']","['https://twitter.com/i/web/status/1242113911660429313', 'https://twitter.com/CryptoNewsFlas3/status/1242027963929047042']"
2,"#RT @iotatoken: We're glad to see the projects from the #IOTACommunity for the #WirVsVirus hackathon. @CovidTrack developed an app that uses the #Tangle to track contacts and the location of infected people to prevent the spread of #Covid19. 
#IOTA #Stay… https://t.co/I8F824qe03","['rt', 'iotacommunity', 'wirvsvirus']","['https://twitter.com/i/web/status/1242126839209918465', 'https://twitter.com/CryptoNewsFlas3/status/1242027963929047042']"
3,"👍 Thumbs up for #CoroNet by our researchers &amp; @SarahBorg19 – a #WirVsVirus hackathon project aiming to track #COVID19 infections. Upvote the video to upvote us 😉 | @Aja_Mys @SchulteRoman @prabhavk

https://t.co/pHXrF3du6U","['coronet', 'wirvsvirus']","['https://twitter.com/i/web/status/1242553647575244808', 'https://www.youtube.com/watch?v=zsdNWQ4vDYg&feature=youtu.be']"
4,"Day8/Round2 of #100DaysOfCode 
- Make an #Android app to track COVID-19 data published by Italian Civil Protection Authority on a daily basis. We are developing it with a friend, for now we do UI improvements. Language used is #Kotlin","['daysofcode', 'android']",['https://twitter.com/i/web/status/1242016660434845697']
5,Just built a small Android app to track the #coronavirus stats using @quasarframework #100DaysOfCode #COVID19 https://t.co/2pWtH9pjVr,"['coronavirus', 'daysofcode', 'covid']",['https://twitter.com/Richard_Keep/status/1239557230015307777/photo/1']
6,"#100DaysOfCode #AndroidDev #Kotlin
I just Made a Covid-19 Tracker using API and Kotlin
Nb: I used an API provided by RapidApi and the data are correct
I will Lately change the design of the App https://t.co/XE0VH4fRxq","['daysofcode', 'androiddev', 'kotlin']","['https://twitter.com/i/web/status/1239207278634557441', 'https://twitter.com/DoctorCode2/status/1239207278634557441/video/1']"
7,Day 13: Made some contributions to @aceg00ber open-source React Native Covid-19 tracker app.#100DaysOfCode,['daysofcode'],[]
8,"#100DaysOfCode
Day 2: 
Developed an API for tracking coronavirus outbreak. Used flask. Hosted it on @pythonanywhere .  
 
-&gt; https://t.co/6RyDT93rVc",['daysofcode'],"['https://twitter.com/i/web/status/1239872719279157248', 'http://nikhil.pythonanywhere.com/']"
9,"R2/D79 #100DaysOfCode
Researched and started setting up Google Analytics to track views of my #ReactJS app
Looked into some #coronavirus -related projects to work on next. There are so many amazing, inspiring projects people are working on! 🤯
https://t.co/xaNW2UjasR","['daysofcode', 'reactjs']","['https://twitter.com/i/web/status/1243084576077070336', 'https://helpwithcovid.com/']"
10,"#100DaysOfCode: Today I received this great tutorial from @freeCodeCamp 's @colbyfayock on how to use Leaflet Gatsby and GeoJSON to create a #COVIDー19 tracker app. A great tutorial on how to make an impactful mapping application using real life data:
https://t.co/q9UGptCSKl",['daysofcode'],"['https://twitter.com/i/web/status/1246036275506884608', 'https://www.freecodecamp.org/news/how-to-create-a-coronavirus-covid-19-dashboard-map-app-in-react-with-gatsby-and-leaflet/']"
11,#100DaysOfCode @thathackergirl Minor bug fix release of my #COVID19 @Android #app: https://t.co/6jymMWuSSQ - fixes: not showing correct tracking status after closing app and re-opening.,"['daysofcode', 'covid', 'app']","['https://github.com/geekdenz/covid19-tracker/releases/tag/0.0.2', 'https://twitter.com/i/web/status/1244919178718404608', 'https://github.com/geekdenz/covid19-tracker/releases/tag/0.0.2']"
12,"Day 14/100 #100DaysOfCode #React #reactjs #CoronavirusOutbreak #Covid_19 

The Covid-19 tracker app

I will continue to add functionality and charting of data.

RT and stay healthy!

https://t.co/7EMnQlDEU6","['daysofcode', 'react', 'reactjs', 'coronavirusoutbreak', 'covid']","['https://twitter.com/i/web/status/1240745372861059073', 'https://covid-19-tracker.net/']"
13,"Day 39 of #100DaysOfCode round 2, I build issue tracker app https://t.co/9ycnhd0jkA as part of my @freeCodeCamp projects during the #Quarantine.

 #javascript #jquery #MongoDB #COVID19 #NodeJS #programmerslife",['daysofcode'],"['https://glossy-freckle-viper.glitch.me/', 'https://twitter.com/i/web/status/1244102234239008776', 'https://glossy-freckle-viper.glitch.me/']"
14,#COVID19 @thathackergirl #100DaysOfCode Does anyone want to alpha test my @Android #app for tracking your location to later find out where it has been spreading? Data is anonymous and can later be associated with Covid19 status and maybe more: https://t.co/OG1dz5kYGP,"['covid', 'daysofcode', 'app']","['https://twitter.com/i/web/status/1244205914489360385', 'https://github.com/geekdenz/covid19-tracker/releases/tag/0.0.1']"
15,"Day 21 of #100DaysOfCode worked almost the whole day. made a covid19 stats tracker with JHU GitHub data. automated updates every day!😀
https://t.co/6LzgDkFh4O

also, if you get an application error, run it after awhile.

here are a few pictures of the app.  #Python3 https://t.co/wrG6Xv0glC",['daysofcode'],"['https://twitter.com/i/web/status/1245783634067329024', 'https://pacific-plains-11986.herokuapp.com/', 'https://twitter.com/beeekiran/status/1245783634067329024/photo/1']"
16,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/UTdmw6wcv1 https://t.co/9P0SF7UOci,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
17,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/bzuU9VG6X4 https://t.co/HIivPxkQKn,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
18,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/jEUKfFuf3B https://t.co/ECShq5h4p9,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
19,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/51Q7uqVBnT https://t.co/2hQmKFhdKK,['futurism'],"['https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19', 'https://twinybots.ch/', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
20,● NEWS ● #futurism #surveillance #policestate ☞ A Growing Number of Countries Tap Phone Data to Track #COVID19 https://t.co/2AJyMsXWEe,"['futurism', 'surveillance', 'policestate', 'covid']","['https://futurism.com/countries-tap-phone-data-track-covid19', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
21,A growing number of countries tap phone data to track COVID-19 #Futurism  https://t.co/lOvipnfUz2,['futurism'],"['https://futurism.com/countries-tap-phone-data-track-covid19', 'https://futurism.com/countries-tap-phone-data-track-covid19']"
22,"We love to see how developers are collaborating to tackle #COVID19, from creating #opensource medical supplies like ventilators to tracking the pathogen's evolution in real time 💪 

What other amazing initiatives have you seen? We'd like to know! https://t.co/d06NfaSvVQ","['covid', 'opensource']","['https://twitter.com/i/web/status/1242193618120499200', 'https://www.zdnet.com/article/how-open-source-software-is-tackling-covid-19-coronavirus/']"
23,Israel (HaMagen) &amp; US (Private Kit: Safe Paths) have turned to #opensource tools to develop contact-tracking #apps. Singapore's #TraceTogether will also be open sourced to allow other countries to adapt it for their contact tracing efforts. These apps need to go viral! #COVID19 https://t.co/2VWm9tHHAV,"['opensource', 'apps']","['https://twitter.com/i/web/status/1242031087447990272', 'https://twitter.com/GabrielSim/status/1242031087447990272/photo/1']"
24,Positive stories about how #opensource is helping do real-time pathogen tracking of COVID-19 @nextstrain @WIRED https://t.co/ljUdTi5p4F and creating a method for testing for infections to help better manage cases around the world @JustOneGiantLab https://t.co/Cuddv5TCCI,['opensource'],"['https://twitter.com/i/web/status/1238876366839459840', 'https://www.wired.com/story/data-sharing-open-source-software-combat-covid-19/', 'https://app.jogl.io/project/118']"
25,"New #Flutter App! 🚀 COVID-19 TRACKER 🙌  #OpenSource
https://t.co/C2hxh6Faj5","['flutter', 'opensource']","['https://itsallwidgets.com/covid-19-tracker', 'https://itsallwidgets.com/covid-19-tracker']"
26,"For scientists working on COVID-19, software/#opensource is a bottleneck. Sample tracking/transformations are huge but they don't have a software team to lean on. 

👉🏾YOU CAN HELP THEM by answering scientists' software questions (fast track stackoverflow): https://t.co/gHowiXwfAt https://t.co/a10VrFFutZ",['opensource'],"['https://twitter.com/i/web/status/1243599477589434368', 'https://discourse.covid-oss-help.org/', 'https://twitter.com/olgabot/status/1243559711586189312']"
27,#Singapore says it will make contact tracing tech freely available to developers #opensource #COVID2019 #DigitalTransformation  https://t.co/e8NPwOEeSI,"['singapore', 'opensource', 'covid']","['https://twitter.com/i/web/status/1242748486333935616', 'https://www.cnbc.com/2020/03/25/coronavirus-singapore-to-make-contact-tracing-tech-open-source.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter']"
28,"The latest #opensource updates are live! User survey shows rapid growth in Apache Pulsar adoption, tracking U.S. Coronavirus testing numbers with open source, top 5 open source serverless security tools + stack builder tool. &gt;&gt; https://t.co/5EmRCZhw7C https://t.co/imrys6P7IU",['opensource'],"['https://twitter.com/i/web/status/1243339005393088519', 'https://www.openlogic.com/openupdate-newsletter?utm_source=twitter&utm_medium=social&utm_campaign=openupdate-newsletter&utm_content=website', 'https://twitter.com/OpenLogicOSS/status/1243339005393088519/photo/1']"
29,"#Singapore Government will #opensource its contact-tracing app #TraceTogether to help other countries combat #COVID19 

#SGUnited @GovTechSG @SmartNationSG 

https://t.co/pu24xTqekJ","['singapore', 'opensource', 'tracetogether']","['https://twitter.com/i/web/status/1243203814770872321', 'https://www.straitstimes.com/singapore/coronavirus-spore-government-to-make-its-contact-tracing-app-freely-available-to']"
30,"The latest #opensource updates are live! User survey shows rapid growth in Apache Pulsar adoption, tracking U.S. Coronavirus testing numbers with open source, top 5 open source serverless security tools + stack builder tool. &gt;&gt; https://t.co/num6PIQxYT https://t.co/wSdy0Jzzl7",['opensource'],"['https://twitter.com/i/web/status/1243315221801943041', 'https://www.openlogic.com/openupdate-newsletter?utm_source=twitter&utm_medium=social&utm_campaign=openupdate-newsletter&utm_content=website', 'https://twitter.com/RogueWaveInc/status/1243315221801943041/photo/1']"
31,"We created a website to track #COVID19 in #Mexico. All data is #OpenSource, grinded to state level and updated daily. We continue our projections with official data.

https://t.co/gQlgghFeOz

The team: @Blas_Ko @vidaleando, Rodrigo and Fabian 😍 https://t.co/VHovFuBn7l","['covid', 'mexico', 'opensource']","['https://twitter.com/i/web/status/1245008769551159296', 'https://mexicovid19.github.io/Mexico/', 'https://twitter.com/leonardo_c25/status/1245008769551159296/photo/1']"
32,"3 wks ago, NY Health AI Society launched #opensource project for individual monitor &amp; track #COVID19 symptoms &amp; important update notifcations. CoronaTracker 1.0 is competing for grant thru DevPost #hackathon that will fund features worldwide. Vote 4 us @ https://t.co/pNIOweAZNs","['opensource', 'covid']","['https://twitter.com/i/web/status/1244685355862941697', 'https://devpost.com/software/coronatracker-9nhoz0']"
33,Tracking the real US coronavirus testing numbers with #opensource | ZDNet https://t.co/eQUSRw6aP4 #coronavirus #CoronaVtj #TechJunkieNews https://t.co/2Am11jZJQo,"['opensource', 'coronavirus']","['https://www.zdnet.com/article/tracking-the-real-us-coronavirus-testing-numbers-with-open-source/', 'https://twitter.com/i/web/status/1246090129263013894', 'https://www.zdnet.com/article/tracking-the-real-us-coronavirus-testing-numbers-with-open-source/', 'https://twitter.com/techjunkiejh/status/1246090129263013894/photo/1']"
34,"We created a website to track #COVID19 in #Mexico. All data is #OpenSource, grinded to state level and updated daily. We continue our projections with official data. https://t.co/YXcFHlcu1G","['covid', 'mexico', 'opensource']","['https://twitter.com/i/web/status/1245010185510440962', 'https://twitter.com/Blas_Ko/status/1245010185510440962/photo/1']"
35,"A #React app for tracking all the cases of #Covid_19 
#javascript #COVID2019 #opensource #Opensource254
https://t.co/I89V9E1rVG","['react', 'covid', 'javascript', 'covid', 'opensource', 'opensource']","['https://github.com/Opensource-254/covid-19-web-react', 'https://github.com/Opensource-254/covid-19-web-react']"
36,"A #React app for tracking all the cases of #Covid_19 
#javascript #COVID2019 #opensource #Opensource254
https://t.co/I89V9E1rVG","['react', 'covid', 'javascript', 'covid', 'opensource', 'opensource']","['https://github.com/Opensource-254/covid-19-web-react', 'https://github.com/Opensource-254/covid-19-web-react']"
37,"#swisscom #sunrise #salt and all others. Commit ideas for #covid-19 tracking and more #hackathon 
https://t.co/KU7RKRkOzw","['swisscom', 'sunrise', 'salt', 'covid', 'hackathon']","['https://www.versusvirus.ch/', 'https://www.versusvirus.ch/']"
38,Done on my lunch break. Let’s see where #CitizenScience and #OpenData can take us on this #COVID19 tracking adventure https://t.co/E4tbUKHgb6,"['citizenscience', 'opendata', 'covid']","['https://twitter.com/i/web/status/1239546996156964866', 'https://twitter.com/covid19track/status/1239540633297195009']"
39,"Fast track EU funding call for #openscience initiatives around #COVID19 to support data sharing 👇👇

#OpenData #Science 

https://t.co/77UdlJiQrB","['openscience', 'covid', 'opendata']","['https://twitter.com/i/web/status/1246045363426992128', 'https://www.eoscsecretariat.eu/funding-opportunities/COVID-19-Fast-Track-Funding']"
40,Nextstrain uses genetic data from viruses to help scientists track the spread of disease outbreaks! #openscience #sharescience #opensource https://t.co/oyNMLXgdlg,['openscience'],"['https://twitter.com/i/web/status/1232848361444839424', 'https://twitter.com/nextstrain/status/1232049451474259970']"
41,"Fast track EU funding call for #openscience initiatives around #COVID19 to support data sharing 👇👇

#OpenData #Science 

https://t.co/77UdlJiQrB","['openscience', 'covid', 'opendata']","['https://twitter.com/i/web/status/1246045363426992128', 'https://www.eoscsecretariat.eu/funding-opportunities/COVID-19-Fast-Track-Funding']"
42,"Implement a live tracking dashboard for #covid19 using #JavaScript with the #API-documentation released by Health Promotion Bureau #lka 

https://t.co/iPT8HHK089

Stay tuned for more updates 

#COVID19outbreak #LockDownSL #vacationmode #apidevelopment #javascript https://t.co/tNqhPjU2vV","['covid', 'javascript', 'api']","['https://twitter.com/i/web/status/1241806381037916160', 'https://faiyazrafeek.github.io/covid19/', 'https://twitter.com/fayazrafeek/status/1241806381037916160/photo/1']"
43,"Published the #COVID19 Tracker application. It is written using #javascript and @Mapbox for plotting the points. I went ahead by making clusters for regions and then you can specifically search for every location by clicking on location. #100daysofcode
https://t.co/sGh7AkQmQw","['covid', 'javascript']","['https://twitter.com/i/web/status/1242735735079231488', 'https://covid2019-tracker.netlify.app/']"
44,"A #React app for tracking all the cases of #Covid_19 
#javascript #COVID2019 #opensource #Opensource254
https://t.co/I89V9E1rVG","['react', 'covid', 'javascript', 'covid', 'opensource', 'opensource']","['https://github.com/Opensource-254/covid-19-web-react', 'https://github.com/Opensource-254/covid-19-web-react']"
45,Create your own Covid-19 data tracker by @KrasimirTsonev https://t.co/EXdT0DO5h1 #javascript #reactjs #redux via @JavaScriptKicks,"['javascript', 'reactjs', 'redux']","['https://krasimirtsonev.com/blog/article/how-to-create-your-own-covid-19-data-tracker', 'https://krasimirtsonev.com/blog/article/how-to-create-your-own-covid-19-data-tracker']"
46,"Majority of the #COVID19 cases in #Ethiopia are imported cases and only two person-to-person transmissions  (from the first patient) are reported thus far.  

Contact tracing and testing are vital!","['covid', 'ethiopia']",['https://twitter.com/i/web/status/1242355752339001344']
47,"We have put together this data visualization to be able to track the confirmed #COVID19 cases in #Ethiopia based on data from @FMoHealth. We will keep it as up-to-date as possible. 
@lia_tadesse @EPHIEthiopia 

Link: https://t.co/4Q5iVm2qla https://t.co/qki1gxBWCP","['covid', 'ethiopia']","['https://twitter.com/i/web/status/1240825582377631744', 'https://public.tableau.com/views/EthiopiaCOVID-19Cases/EthiopiaCOVID-19Cases?:display_count=y&publish=yes&:origin=viz_share_link&:showVizHome=no', 'https://twitter.com/MahletKS/status/1240825582377631744/photo/1']"
48,"Additional 3 #coronavirus cases detected in #Ethiopia (2 #Japanese and 1 #Ethiopian)

Three of them had contact with the first case reported (#Japanse)

An Ethiopian was a driver to the Japanse (first confirmed case in Ethiopia)

Extensive contact tracing continued","['coronavirus', 'ethiopia', 'japanese', 'ethiopian']",['https://twitter.com/i/web/status/1239265050465939456']
49,"#Ethiopia #Breaking
Three new Corona positive case
...
Ethiopia #COVID19 Status Update 

After Ethiopia confirmed its first case on March 13, contact tracing conducted and we have now confirmed three of the contacts of index case are positive for COVID-19.
Via Lia Tadese","['ethiopia', 'breaking', 'covid']",['https://twitter.com/i/web/status/1239207017891454978']
50,"I applaud #Ethiopia ⁦@FMoHealth⁩ ⁦@flyethiopian⁩ for strong measures to date on #COVID19. MUCH more testing,tracing &amp; social distancing must be our TOP priorities.Just saw ET tracking platform developed by ⁦⁦@eliabt⁩. Pls all use it https://t.co/BdtSmsW2Ku","['ethiopia', 'covid']","['https://twitter.com/i/web/status/1241252340201672704', 'https://www.tracketdata.com/']"
51,"Tracking #COVID19 confirmed  cases in #Ethiopia.  A digital tracking site is developed that offers updates on situations of the confirmed cases with disaggregated data.Excellent initiative, 
@MahletKS
!!! Please see here: https://t.co/Df6IiZsDTj","['covid', 'ethiopia']","['https://twitter.com/i/web/status/1240907935485767680', 'https://public.tableau.com/profile/mahlet.nigatu#!/vizhome/EthiopiaCOVID-19Cases/EthiopiaCOVID-19Cases']"
52,This is the highest # of Cases in one day for us. Keep testing and tracking. #Ethiopia  #ኢትዮጵያዬ,"['ethiopia', 'ኢትዮጵያዬ']",[]
53,"Great google doc tracking all #Ethiopia’s federal and regional government response to COVID19

https://t.co/iidKoiG4Nq",['ethiopia'],"['https://twitter.com/i/web/status/1244519521966346240', 'https://docs.google.com/spreadsheets/d/e/2PACX-1vROpdMJPIytgqeM70CmWPwxQ1IWHjGrTe97RQLJ8Jh3EAWgfCIXGzQY-R7T1eJrkI8fUPWuIZ74iT3g/pubhtml']"
54,"Geeks of #Tanzania unite 👇🏽😀 #COVID19 tracking in #Ethiopia 
Sisi tunaweza?","['tanzania', 'covid', 'ethiopia']",[]
55,Tracking Africa's coronavirus cases | News - https://t.co/0JPOWyGR00 #Ethiopia #Ethiopian,"['ethiopia', 'ethiopian']","['http://ethiopiaforums.com/tracking-africas-coronavirus-cases-news/', 'http://ethiopiaforums.com/tracking-africas-coronavirus-cases-news/']"
56,"#COVID19NIGERIA 

BEWARE OF ANDROID-BASED #CORONAVIRUS TRACKING APP

This malicious #Ransomware application is a fake coronavirus tracking app that threatens to leak social media accounts &amp; delete a phone's storage unless a victim pays $100 in bitcoin.

https://t.co/xGtCMebO2X","['covidnigeria', 'coronavirus', 'ransomware']","['https://twitter.com/i/web/status/1242717151104024577', 'https://www.forbes.com/sites/zakdoffman/2020/03/16/new-warning-you-must-not-open-this-malicious-coronavirus-app/#1619c01f5763']"
57,"I am loving this updates from @kfayemi @ekitistategov on #COVID19NIGERIA #COVID19EKITI and hope @oyostategovt will be bold with specifics on #COVID19IBADAN on contact tracing.. @NCDCgov @yodifiji @ibcityannouncer @aproko_doctor my people, stay safe and do not PANIC #COVID19 https://t.co/12KEUTTMDa","['covidnigeria', 'covidekiti']","['https://twitter.com/i/web/status/1241040067898085378', 'https://twitter.com/ekitistategov/status/1241023958641774592']"
58,"Contact tracing is ongoing to identify those who came in contact with confirmed cases of #COVID19Nigeria. While in self-isolation, the contacts are monitored daily for 14 days

Today our Rapid Response Team made a home visit to a contact in Lagos to assess his health &amp; well-being https://t.co/fIJ58sgYq9",['covidnigeria'],"['https://twitter.com/i/web/status/1245086793957072896', 'https://twitter.com/NCDCgov/status/1245086793957072896/photo/1']"
59,"Isolate, test, treat and trace #COVID19Pandemic #COVID19Nigeria #COVID19 #COVID2019 #COVID2019 #covid","['covidpandemic', 'covidnigeria', 'covid', 'covid', 'covid', 'covid']",[]
60,"Implement a live tracking dashboard for #covid19 using #JavaScript with the #API-documentation released by Health Promotion Bureau #lka 

https://t.co/iPT8HHK089

Stay tuned for more updates 

#COVID19outbreak #LockDownSL #vacationmode #apidevelopment #javascript https://t.co/tNqhPjU2vV","['covid', 'javascript', 'api']","['https://twitter.com/i/web/status/1241806381037916160', 'https://faiyazrafeek.github.io/covid19/', 'https://twitter.com/fayazrafeek/status/1241806381037916160/photo/1']"
61,"The @covid19indiaorg #API is a #coronavirus tracker for cases in #India . The API returns daily confirmed cases, daily deceased cases, and daily recovered cases as time series data. This information is also available cumulatively and per district. https://t.co/mXehmis8ZB https://t.co/2DV8uWCAE7","['api', 'coronavirus', 'india']","['https://twitter.com/i/web/status/1245223123127066624', 'https://www.programmableweb.com/api/covid19india-rest-api-v10', 'https://twitter.com/programmableweb/status/1245223123127066624/photo/1']"
62,"D10/100 It's been boring day, started coding a react app to track the status of outbreaks per state. #react #code #100DaysOfCode #COVID19 #coronavirus https://t.co/qsjGvvKnwa","['react', 'code']","['https://twitter.com/i/web/status/1241554517432377344', 'https://twitter.com/developer_carl/status/1241554517432377344/photo/1']"
63,#CoronavirusInSA: The first step in containing an outbreak is to track down those exposed. It’s a process called contact tracing. Read this incredible feature by @vandykjoan where she takes you inside the secret lives of #Covid19SA tracers,['coronavirusinsa'],['https://twitter.com/i/web/status/1243408196275826688']
64,#CoronavirusInSA another UCT student has tested positive for the coronavirus. The student is receiving medical support amd contact tracing is underway. This brings the total number of COVID-19 infections at UCT to 6. JK,['coronavirusinsa'],['https://twitter.com/i/web/status/1245625935681880073']
