,text,hashtags
168,"Download the Corona Info app for India

Live Statistics |
Precautions &amp; Risks |
Helpline numbers |

#CoronaUpdate #CoronaLockdown #coronavirusindia #CoronavirusOutbreak
#Covid19India #Covid_19 #design #uxdesign #appdev #appdesign

Download Link - https://t.co/uIJa3rZhIF https://t.co/7okh7OoyBJ",['coronaupdate']
169,"@OgbeniDipo Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
170,"@AyoBankole Here is great #smartphone device #samsung 
https://t.co/AqUHtaJ9tO #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
171,"@thehill Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
172,"@OgbeniDipo Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
173,"@JackPosobiec Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
174,"My cousin sent us this really helpful #Covid_19 #CoronaUpdate #CoronaVirus website while we were still Tamil Nadu. 🙏🏽🙏🏽 @henrikafloren

Its one of those data sources that teaches volumes in simple numbers:   https://t.co/1jowhwwlgp","['covid', 'coronaupdate', 'coronavirus']"
175,#StockMarket #stocks #Markets #stockmarketnews #Futures #OptionsTrading #daytrading #CoronaUpdate #COVID19  Up coming data this week.  NOT something to ignore with recent events,"['stockmarket', 'stocks', 'markets', 'stockmarketnews', 'futures', 'optionstrading', 'daytrading', 'coronaupdate', 'covid']"
176,"#SundayThoughts #MARTIALLAW2020 #CoronaUpdate DOJ wants to suspend #ConstitutionalRights but now...
The U.S. wants smartphone location data to fight coronavirus. #Privacy advocates are worried. https://t.co/cCtk6pwfX5","['sundaythoughts', 'martiallaw', 'coronaupdate', 'constitutionalrights']"
177,"#Data is always #beautiful but #COVID2019india outspread data is scary

#CoronaUpdate #COVID2019","['data', 'beautiful', 'covidindia', 'coronaupdate', 'covid']"
178,"#SundayThoughts #SundayFunday #SundayBrunch 
#BlackTwitter #Resistance #women #coronavirus #CoronaUpdate 

2 article thread. 
MUST-READ piece showing how the left is manipulating data to suggest their desired conclusion and present it as “fact-checking.” 

https://t.co/geX7jUWXpa","['sundaythoughts', 'sundayfunday', 'sundaybrunch', 'blacktwitter', 'resistance', 'women', 'coronavirus', 'coronaupdate']"
179,"#TNINewsUpdate #CoronaUpdate 

#Odisha Govt asks Collectors &amp; Municipal Commissioners to intensify surveillance &amp; contact tracing of people who returned from abroad &amp; other #COVID19 affected States. 

2,856 persons who returned from aborad in the last 14 days, yet to be traced. https://t.co/JtpWwhmj4Y","['tninewsupdate', 'coronaupdate', 'odisha']"
180,"#iTHiNKLabs Episode 116🔴https://t.co/ciIN4Aj0Jb

This week:

#StayHome #Security #Health #Business #CoronaUpdate #Tech #WorkFromHome #Management #SundayMorning #Privacy #Work #VPN #StayAtHomeAndStaySafe #Mobile #Hantavirus #Covid_19 #SundayThoughts #Foodie #WhenCoronaVirusIsOver https://t.co/1Nhp2Aa5U5","['ithinklabs', 'stayhome', 'security', 'health', 'business', 'coronaupdate']"
181,"Share healing for yourself and others.
#NithyanandaFastingForGlobalHealing
#COVID_19 #CoronaUpdate

Get the App: https://t.co/7IvC3etU2x
April 13 experience register at https://t.co/G8JEKQ4W0H","['nithyanandafastingforglobalhealing', 'covid', 'coronaupdate']"
182,"Learn to go beyond food and #CornavirusOutbreak fear
#NithyanandaFastingForGlobalHealing
#COVID_19 #CoronaUpdate

Get the App: https://t.co/7IvC3etU2x","['cornavirusoutbreak', 'nithyanandafastingforglobalhealing', 'covid', 'coronaupdate']"
183,"COVID-19 Daily: New Hydroxychloroquine Data, Dire PPE Shortages https://t.co/WKY8S0qU5D #CoronaUpdate #Covid_19","['coronaupdate', 'covid']"
184,"With new quick test, we can begin random sampling.  We need to start tracking to determine when virus is shed. #CoronaUpdate #coronavirus","['coronaupdate', 'coronavirus']"
185,"Coronavirus Could Infect Privacy And Civil Liberties Forever

Are you ok with this? 

#coronavirus
#CoronaUpdate 
#COVID19 
#WakeUp
#RiseUp
 https://t.co/xkTnNGU0er","['coronavirus', 'coronaupdate']"
186,Hey @SenSchumer... any movement on this one? @GOP @realDonaldTrump @POTUS @TheDemocrats #CoronaUpdate #coronavirus #CoronaLockdown #CoronavirusUSA https://t.co/sYbGMB9xmn,"['coronaupdate', 'coronavirus']"
187,"Don’t trust Chinese data. Period. 

#ChinaLiedPeopleDie #Covid_19 #CoronaUpdate #China https://t.co/QgonyvB0vT","['chinaliedpeopledie', 'covid', 'coronaupdate', 'china']"
188,#CoronaUpdate for April 3: @caspiancenter is tracking the number of confirmed #COVID19 cases in the Greater #Caspian Region. Here are the latest numbers for today: https://t.co/VW6tkMqVUT,"['coronaupdate', 'covid']"
189,"It's foolish to think only China lies about their data
#coronavirus 
#CoronaUpdate 
#COVID19","['coronavirus', 'coronaupdate', 'covid']"
190,"Half of people with #coronavirus have no #symptoms, data shows https://t.co/XqSatkkLv7 #COVID2019 #CoronaUpdate","['coronavirus', 'symptoms', 'covid', 'coronaupdate']"
191,Researchers working on FREE PHONE APP to Test for COVID19! 🥰🙏 #COVID2019 #COVID19Update #breaking #CoronaUpdate #SafeAtHome #QuarantineLife  https://t.co/EY0BLqWdrF,"['covid', 'covidupdate', 'breaking', 'coronaupdate']"
192,"#CoronaUpdate: ""More data showing people without symptoms are fueling the spread"" PLEASE #StayAtHomeAndStaySafe. Good night friends❤️
https://t.co/vXLck36qP6","['coronaupdate', 'stayathomeandstaysafe']"
193,"#PhoenixMall #CoronaUpdate 
Although the @chennaicorp poster on contact tracing says three people who worked at Lifestyle tested positive for #COVID19, health department officials told @Sinduj11 that so far only two staff at the mall have tested positive!","['phoenixmall', 'coronaupdate']"
194,All recent #Samsung cellphones feature a blood oxygen sensor. Using Samsung's Health app you can measure blood oxygen saturation (SpO2). Be careful when this value drops below 94%. Stay healthy. @Samsung #Coronavirus #SARSCoV2 #COVID19 https://t.co/NOLGrclGpT,['samsung']
195,"Everybody's quarantined. Galaxy S20, no edits. #galaxys20 #galaxys20ultra #samsung #withgalaxy #corona #coronavirus #smartphone #smartphones #nature #naturephotography https://t.co/wrumx9ARpc","['galaxys', 'galaxysultra', 'samsung', 'withgalaxy', 'corona', 'coronavirus']"
196,"Samsung is Offering to Clean Your Galaxy Smartphone For Free!
#coronavirus
#Samsung 
https://t.co/fLPhwX0aIk","['coronavirus', 'samsung']"
197,"If you have a #Samsung Smart TV, go to the apps bit and download the Feratel Webcams app (it's free). Fantastic to waste a bit of time and look at almost live video of mountains, cities and stuff across Europe, in HD. It's really good. #Covid_19 #CoronaCrisis",['samsung']
198,#Olympus Best Selling Mirrorless #Camera - #Samsung 150MP Sensor Smartphone Coming - #FujiFilm Makes #Coronavirus Drug and more  https://t.co/LpDQFsA1AQ https://t.co/S2lnb5uLxT,"['olympus', 'camera', 'samsung', 'fujifilm', 'coronavirus']"
199,"#Samsung, #Google, &amp; #Sony take strategic decisions to sustain in #COVID19 by relocating their smartphone factories to global locations like India and Vietnam.
https://t.co/CoFIXy14CM","['samsung', 'google', 'sony', 'covid']"
200,"From #Samsung to #Oppo and #Realme, major smartphone players are closing down their manufacturing units

https://t.co/gGORfUGCLi","['samsung', 'oppo', 'realme']"
201,"The non-#CoronaVirus news that open my Eyes and Jaws WIDE just now is...

#Samsung is making 1-inch #smartphone #camera sensor... That will be all good kind of S.I.C.K.

1-inch sensor and 150megapixels. Other known OEMs are requesting it and we may those by end of year.","['coronavirus', 'samsung', 'smartphone']"
202,"@firstladyship Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
203,"@Malcom__A Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
204,"@davidadebanjo_ Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
205,"@redsteeze @IvankaTrump Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb']"
206,"@business Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
207,"@HG2films Here is great #smartphone device #samsung 
https://t.co/AqUHtaJ9tO #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
208,"@DONJAZZY Here is great #smartphone device #samsung 
https://t.co/AqUHtaJ9tO #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
209,"@OgbeniDipo Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
210,"@AyoBankole Here is great #smartphone device #samsung 
https://t.co/AqUHtaJ9tO #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
211,"@TheNationNews @MBuhari Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb']"
212,"@thehill Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
213,"@OgbeniDipo Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
214,"@TheNationNews @MBuhari Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb']"
215,"@JackPosobiec Here is great #smartphone device #samsung 
https://t.co/bYiKEGcqSP #Mbuhari #pmb #CoronaUpdate #WhenCoronaVirusIsOver #dontrushchallenge #COVID19 #StayAtHomeAndStaySafe #SundayMotivation #UltimateLoveFinale #DoubleChris #CoronaLessons #lockdown #norushchallenge","['smartphone', 'samsung', 'mbuhari', 'pmb', 'coronaupdate']"
216,"#ados you better start teaching ya bigmama/papa how to use a #smartphone right now!
New Coronavirus Stimulus Bill In Congress Creates U.S. Digital Dollar via @forbes https://t.co/OPmeg2IH28","['ados', 'smartphone']"
217,"#ADOS we know the news will never report the real data so by all means keep yourself safe
https://t.co/G4k2LdPKec",['ados']
218,"For #ADOS living near toxic industrial facilities, there are now NO federal rules preventing the pollution of your air, water or land indefinitely. 

From past projects, companies spend MILLIONS annually on monitoring + controlling regulated water quality &amp; air emissions. https://t.co/wIJgVtK7gQ",['ados']
219,"🚨#ADOS Block Alert

👉@Askedtoleave
👉@PeopleOfAngela

This avatar operates under 2 handles at once 👀 &amp; use BAIT topics with individuals---who may or may not be politically active---as a gateway to launch a smear campaign against #ADOS movement, already pitching to smear media.",['ados']
220,"Both sides are playing GAMES. DIVERSITY DATA? WTF is ""diversity"" when everyone qualifies as 'diverse' besides #ADOS? #ADOSPolitics",['ados']
221,"#ADOS 👀
Watch and learn fam. Be advised. Take EVERY PRECAUTION! Eat healthy, exercise and build up your immune system. Get prepared for a rough road ahead.
https://t.co/XiQMShk124
#COVID19 
#coronavirus
#StayAtHome
#data",['ados']
222,"So this is what @AyannaPressley cares to promote at a time like this? Meanwhile #ADOS is worth $8 liquid, imprisoned at 7.5x the rate of whites, &amp; Boston is noted 4 being 1 of the most racist towns amid a #COVID19 that's infected over 5k state wide. By the data it makes no sense! https://t.co/o6sT5M9TIU",['ados']
223,"This website is tracking the #COVID19 Mutations - 8 so far
https://t.co/GY3ld5kWZV #ADOS","['covid', 'ados']"
224,"1✅What were you doing #BeforeADOS? What were your beliefs?

2✅What have you discovered since the #ADOS movement and its call for reparations became a topic on the presidential stage in 2019?

3✅What have you discovered  since COVID-19 became a pandemic?

4✅What's next? https://t.co/OMCe5EHn4l","['beforeados', 'ados']"
225,"“Early Data Shows African Americans Have Contracted and Died of Coronavirus at an Alarming Rate” #ados 
https://t.co/cp4XKLy4XI",['ados']
226,Ya think?⚡️ “The data says it all: Staying home during coronavirus is a luxury.” by @nytimes https://t.co/HmSnQ2RG2K #ADOS,['ados']
227,#Fauci is on @CNN right now doing a Global #townhall and I have to wonder how this man is able to have the energy to work 19 hours a day and keep on tope of the latest data. I also hear that he still exercises daily. This man is my #hero. Stay safe! #Covid_19,"['fauci', 'townhall']"
228,"This is the only way we can get data, facts and reality...  #Fauci #Trump #coronavirus #COVID19 https://t.co/syz71CfiD7","['fauci', 'trump', 'coronavirus', 'covid']"
229,#Fauci says contact tracing is key to containment. How many institutions are doing this? How to trace without testing? Is #coronavirus containment even possible anymore or is focus mitigation? #CoronaLockdown #COVID19 #CoronavirusUSA #CoronavirusOutbreak  https://t.co/BlDQpazBXA,['fauci']
230,"Not following #Fauci's position re:tests
Positives were isolated by test data.
#Pence keep citing 10s of 1000s of tests? In a nation of 350M!
This #TrumpPressConference is the worse so far. 
No, you didn't not 'inherit a broken system.'
You eroded a scalable functioning system.","['fauci', 'pence']"
231,"@gatewaypundit #Fauci and Brix have NO FRIGGEN IDEA how many cases or deaths from #Covid19 there will be. To them its ALL data GUESS WORK and is ONLY as good as the algorithm that was written. HOPEFULLY Unbiased ALGO.

Just like ELECTION polls these estimates can be way off.

@POTUS&gt; #OpenUsUp","['fauci', 'covid']"
232,"Dr #Fauci speaks on the #CoronaUpdate models, ways to #FlattenTheCurve and the assumptions that go into creating them. Remember that the models are used as guides that factor in other countries and data we have but not necessarily how things will turn out.
#Covid_19
#coronavirus https://t.co/yhf7yxvLHr","['fauci', 'coronaupdate', 'flattenthecurve']"
233,"It’s sobering.  It’s realistic. It will be painful says Dr Anthony #Fauci based on data Americans should be prepared for 100,000 deaths #coronavirus https://t.co/jizhn36t2e",['fauci']
234,"#FoxNews broadcasting live right a
content-less chat between the Cuomo brothers

They're not worried about
#Fauci demand of
#shutdown, #lockdown until not a single #COVID19 death?

#Depression, #MartialLaw, #surveillance, forced #vaccination

Outlet for global govt &amp; #BigPharma","['foxnews', 'fauci']"
235,"#BillGatesVirus #FauciFraud #Fauci @realDonaldTrump 
#Covid19 #coronavirus (cold/flu), #vaxxed #gmo
#monsanto-#bayer #NIH #NHS #CDC #FDA #WHO

They are faking the data. Saying peopled died from #COVID19 when they DID NOT DIE FROM IT. 

Medical fraud 101.

https://t.co/DGrwblWXNY","['billgatesvirus', 'faucifraud', 'fauci', 'covid', 'coronavirus', 'vaxxed', 'gmo', 'monsanto']"
236,"#WhiteHouseBriefing  Dr. Birx says great concerns for next two weeks, based on Chris Murray model.  #Fauci says model is as good as assumptions put into it.  Complex.  Dr. Fauci says he likes to look at the data and try to mitigate. #coronavirus.  #COVID19","['whitehousebriefing', 'fauci']"
237,Some of the data that is persuading #Fauci and other experts to support wearing of material masks / facial covering.  https://t.co/Yfppqu3Ofy,['fauci']
238,"""We don’t operate on how you feel. We operate on what evidence is, and data is."" - #Fauci on our response to #COVID19. This also happens to be the way science works, in general.",['fauci']
239,"Dr. #Fauci Shuts Down ‘Fox &amp; Friends’ on #Coronavirus Cure, Says ‘We Don’t Operate on How You Feel’. #Science &amp; #data matter in #medicine.  #FoxNewsLies  https://t.co/OLoSCzzkEx","['fauci', 'coronavirus', 'science']"
240,"@mini_bubbly Like #Fauci said, models are of no use.
The situation is so fluid that ANY model at any time, it's a snapshot of that very second, based on known data, practices, etc. 
Make a single change, &amp; that model is invalid.
Models for #COVID19 is like taking your temperature, always diff",['fauci']
241,Coronavirus: @FNBSA to Offer Connect Customers Free Data https://t.co/BxXGYVOKqx via @tech_financials #Covid_19 #WhenCoronaVirusIsOver,"['covid', 'whencoronavirusisover']"
242,"If it Impresses Wear it.
Call/app: 0714943964 
#footwearmall
#NewWorldOrder
#WhenCoronaVirusIsOver
#WomenAtWebKE
#Chamanenyu 
#Somalia 
#ShameOnTangaTanga 
#coronaviruske 
#Coronavirustruth 
#UONboycotonlineclasses 
#betty
#Lonyangapuo #Covid_19 https://t.co/DSPnmW7YAN","['footwearmall', 'newworldorder', 'whencoronavirusisover', 'womenatwebke']"
243,"#WhenCoronaVirusIsOver, USA needs to re-think how it learns from present mistakes, past foes &amp; collaborates to tackle global challenges eg like Vietnam, Germany: they have a much lower COVID death rate than USA, by following #WHO guidelines: combine #trackingCovid19 #trace #test",['whencoronavirusisover']
244,"If it Impresses Wear it.
Call/app: 0714943964 
#footwearmall
#NewWorldOrder
#WhenCoronaVirusIsOver
#WomenAtWebKE
#Chamanenyu 
#Somalia 
#ShameOnTangaTanga 
#coronaviruske 
#Coronavirustruth 
#UONboycotonlineclasses 
#betty
#Lonyangapuo #Covid_19 https://t.co/Ep6hlINCLU","['footwearmall', 'newworldorder', 'whencoronavirusisover', 'womenatwebke']"
245,"If it Impresses Wear it.
Call/app: 0714943964 
#footwearmall
#NewWorldOrder
#WhenCoronaVirusIsOver
#WomenAtWebKE
#Chamanenyu 
#Somalia 
#ShameOnTangaTanga 
#coronaviruske 
#Coronavirustruth 
#UONboycotonlineclasses 
#betty
#Lonyangapuo #Covid_19 https://t.co/JhWN8TGUrn","['footwearmall', 'newworldorder', 'whencoronavirusisover', 'womenatwebke']"
