,id_str,hashtags,urls,text,clean_text,created_at,lang,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
0,1250820930479239173,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1250820930479239173'],"#FoxRedDPaaS #DPO #privacy News Feed : You can now take your IAPP certification exam from home: https://t.co/EhLnMX2NLI : The COVID-19 pandemic is impacting professionals in a variety of ways, but career advancement through IAPP certifi",FoxRedDPaaS DPO privacy News Feed You can now take your IAPP certification exam from home The COVID pandemic is impacting professionals in a variety of ways but career advancement through IAPP certifi,2020-04-16 16:18:43,en,0,0,0,0,True,neutral,0.5
1,1249730998880911364,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1249730998880911364'],#FoxRedDPaaS #DPO #privacy News Feed : Fauci: US may consider COVID-19 immunity certificates: https://t.co/If7y7Oi1ri : National Institute of Allergy and Infectious Diseases Director Anthony Fauci said the U.S. government may,FoxRedDPaaS DPO privacy News Feed Fauci US may consider COVID immunity certificates National Institute of Allergy and Infectious Diseases Director Anthony Fauci said the US government may,2020-04-13 16:07:43,en,0,0,0,0,True,neutral,0.5
2,1245739904971288576,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1245739904971288576'],"#FoxRedDPaaS #DPO #privacy News Feed : COVID-19 privacy updates from France, Netherlands, Poland and more: https://t.co/1tgsNQyPzf : As the COVID-19 pandemic continues, here are the latest stories on how the outbre",FoxRedDPaaS DPO privacy News Feed COVID privacy updates from France Netherlands Poland and more As the COVID pandemic continues here are the latest stories on how the outbre,2020-04-02 15:48:32,en,0,0,0,0,True,neutral,0.5
3,1251187198759776258,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1251187198759776258'],#FoxRedDPaaS #DPO #privacy News Feed : European Commission issues guidance on COVID-19 apps: https://t.co/WuTIOYZPQQ : The European Commission announced its guidance on data protection for apps aimed at combating COVID-19. Th,FoxRedDPaaS DPO privacy News Feed European Commission issues guidance on COVID apps The European Commission announced its guidance on data protection for apps aimed at combating COVID Th,2020-04-17 16:34:08,en,0,0,0,0,True,neutral,0.5
4,1250817319422566401,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1250817319422566401'],"#FoxRedDPaaS #DPO #privacy News Feed : The privacy issues for EU, UK and US employers during COVID-19Â Â Â : https://t.co/ZhTmodrsMI : As COVID-19 becomes our new normal, we increasingly see the tension between protec",FoxRedDPaaS DPO privacy News Feed The privacy issues for EU UK and US employers during COVIDÂ Â Â As COVID becomes our new normal we increasingly see the tension between protec,2020-04-16 16:04:22,en,0,0,0,0,True,weakly_negative,0.3409
5,1242504066158166018,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1242504066158166018'],#FoxRedDPaaS #DPO #privacy News Feed : California attorney general's office: No delay on CCPA enforcement amid COVID-19: https://t.co/gYdCpbchGZ : The COVID-19 pandemic has brought many things in life to a screechin,FoxRedDPaaS DPO privacy News Feed California attorney generals office No delay on CCPA enforcement amid COVID The COVID pandemic has brought many things in life to a screechin,2020-03-24 17:30:28,en,0,0,0,0,True,weakly_positive,0.62055
6,1242111991373856769,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1242111991373856769'],#FoxRedDPaaS #DPO #privacy News Feed : UK Information Commissioner Releases COVID-19 Guidance for Controllers and Health and Care Practitioners: https://t.co/l3aR2vivew,FoxRedDPaaS DPO privacy News Feed UK Information Commissioner Releases COVID Guidance for Controllers and Health and Care Practitioners,2020-03-23 15:32:30,en,0,0,0,0,True,positive,0.74695
7,1242895583901253633,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1242895583901253633'],#FoxRedDPaaS #DPO #privacy News Feed : Dutch DPA Publishes Recommendations Regarding COVID-19 and Privacy in the Workplace: https://t.co/FuNPTpu1om : The Dutch Data Protecti,FoxRedDPaaS DPO privacy News Feed Dutch DPA Publishes Recommendations Regarding COVID and Privacy in the Workplace The Dutch Data Protecti,2020-03-25 19:26:13,en,0,0,0,0,True,neutral,0.5
8,1250817324002746368,"['foxreddpaas', 'dpo', 'privacy']","['http://zpr.io/t5WGH', 'https://twitter.com/i/web/status/1250817324002746368']",#FoxRedDPaaS #DPO #privacy News Feed : EU member states develop COVID-19 app toolbox: https://t.co/tf1OOXjtbY : EU member states developed a toolbox to be used when designing mobile apps to track the spread of COVID-19. With support,FoxRedDPaaS DPO privacy News Feed EU member states develop COVID app toolbox EU member states developed a toolbox to be used when designing mobile apps to track the spread of COVID With support,2020-04-16 16:04:23,en,0,0,0,0,True,positive,0.70095
9,1249670685540188163,"['foxreddpaas', 'dpo', 'privacy']",['https://twitter.com/i/web/status/1249670685540188163'],#FoxRedDPaaS #DPO #privacy News Feed : NHS coronavirus app: memo discussed giving ministers power to 'de-anonymise' users: https://t.co/3GW7EmPqjI : Exclusive: draft plans for c,FoxRedDPaaS DPO privacy News Feed NHS coronavirus app memo discussed giving ministers power to deanonymise users Exclusive draft plans for c,2020-04-13 12:08:03,en,0,0,0,0,True,positive,0.7202
