,id_str,hashtags,urls,text,clean_text,created_at,lang,quote_count,reply_count,retweet_count,favorite_count,to_cache,sa_label,sa
0,1244600413380173824,"['kolkata', 'nirdpr']",['https://twitter.com/i/web/status/1244600413380173824'],"NIRDPR guides Gram Panchayats across India on Monitoring Migrants and Preventing COVID-19 spread
#Kolkata #NIRDPR #CoronaVirusUpdates #Coronavirustruth #VirusCorona #lockdown #Covid_19 #COVID19 #Corona #CoronaUpdate #CoronavirusOutbreak #CoronaLockdown
https://t.co/3kFOxSojMB",NIRDPR guides Gram Panchayats across India on Monitoring Migrants and Preventing COVID spread Kolkata NIRDPR CoronaVirusUpdates Coronavirustruth VirusCorona lockdown Covid COVID Corona CoronaUpdate CoronavirusOutbreak CoronaLockdown,2020-03-30 12:20:36,en,0,0,0,0,True,weakly_negative,0.4871
1,1251874272085069825,"['justin', 'covid', 'westbengal']",['https://twitter.com/i/web/status/1251874272085069825'],"#JUST_IN: Number of active #COVID19 positive cases in #WestBengal mounts to 198 while 66 have cured so far &amp; death toll stands at 12. The state has tested 5045 samples so far. Meanwhile, Centre's data shows the total number of confirmed #Covid19 cases has reached 310 in #Bengal. https://t.co/sHWnsSu4vl",JUSTIN Number of active COVID positive cases in WestBengal mounts to while have cured so far amp death toll stands at The state has tested samples so far Meanwhile Centres data shows the total number of confirmed Covid cases has reached in Bengal,2020-04-19 14:04:19,en,0,0,0,0,True,positive,0.7657
2,1251226554149015552,"['mumbai', 'pune', 'kolkata', 'covid', 'lockdown']",['https://twitter.com/i/web/status/1251226554149015552'],"#Mumbai, #Pune &amp; #Kolkata have been ~1.5°C warmer than the average in the #Covid_19 #lockdown period, whereas #Patna &amp; other places in #Bihar, #UttarPradesh have been ~3°C warmer than the average. 

Data - NCEP/NCAR Reanalysis 
Climatology - 1981-2010",Mumbai Pune amp Kolkata have been C warmer than the average in the Covid lockdown period whereas Patna amp other places in Bihar UttarPradesh have been C warmer than the average Data NCEPNCAR Reanalysis Climatology,2020-04-17 19:10:31,en,0,0,0,0,True,positive,0.76335
3,1247795356944879621,"['bengali', 'westbengal', 'kolkata', 'murshidabad', 'birbhum', 'bardhaman', 'howrah', 'purulia', 'nadia', 'hooghly', 'bankura', 'paschim']",['https://twitter.com/i/web/status/1247795356944879621'],"#Bengali #WestBengal #Kolkata #Murshidabad #Birbhum #Bardhaman #howrah #Purulia #Nadia #Hooghly #Bankura #Paschim #Purva @BJP4Bengal #BJP4Bengal #FeedTheNeedy

 #tmcFREEbengal

Aarogya Setu app to fight against COVID19. Download and share 
For Android : 
https://t.co/THvKjgiZWk",Bengali WestBengal Kolkata Murshidabad Birbhum Bardhaman howrah Purulia Nadia Hooghly Bankura Paschim Purva BJPBengal BJPBengal FeedTheNeedy tmcFREEbengal Aarogya Setu app to fight against COVID Download and share For Android,2020-04-08 07:56:10,en,0,0,0,0,True,weakly_negative,0.44865
4,1247057659481583618,"['bengali', 'westbengal', 'kolkata', 'murshidabad', 'birbhum', 'bardhaman', 'howrah', 'purulia', 'nadia', 'hooghly', 'bankura', 'paschim']",['https://twitter.com/i/web/status/1247057659481583618'],"#Bengali #WestBengal #Kolkata #Murshidabad #Birbhum #Bardhaman #howrah #Purulia #Nadia #Hooghly #Bankura #Paschim #Purva @BJP4Bengal #BJP4Bengal #9pm9minute
Aarogya Setu app to fight against COVID19. Download and share it using this link Android : 
https://t.co/THvKjgiZWk",Bengali WestBengal Kolkata Murshidabad Birbhum Bardhaman howrah Purulia Nadia Hooghly Bankura Paschim Purva BJPBengal BJPBengal pmminute Aarogya Setu app to fight against COVID Download and share it using this link Android,2020-04-06 07:04:49,en,0,0,0,0,True,weakly_negative,0.44865
5,1247164793632350209,"['bengali', 'westbengal', 'kolkata', 'murshidabad', 'birbhum', 'bardhaman', 'howrah', 'purulia', 'nadia', 'hooghly', 'bankura', 'paschim']",['https://twitter.com/i/web/status/1247164793632350209'],"#Bengali #WestBengal #Kolkata #Murshidabad #Birbhum #Bardhaman #howrah #Purulia #Nadia #Hooghly #Bankura #Paschim #Purva @BJP4Bengal #BJP4Bengal #RSSfightsCorona
Aarogya Setu app to fight against COVID19. Download and share it using this link Android : 
https://t.co/THvKjgiZWk",Bengali WestBengal Kolkata Murshidabad Birbhum Bardhaman howrah Purulia Nadia Hooghly Bankura Paschim Purva BJPBengal BJPBengal RSSfightsCorona Aarogya Setu app to fight against COVID Download and share it using this link Android,2020-04-06 14:10:32,en,0,0,0,0,True,weakly_negative,0.44865
6,1247417975805640705,"['bengali', 'westbengal', 'kolkata', 'murshidabad', 'birbhum', 'bardhaman', 'howrah', 'purulia', 'nadia', 'hooghly', 'bankura', 'paschim']",['https://twitter.com/i/web/status/1247417975805640705'],"#Bengali #WestBengal #Kolkata #Murshidabad #Birbhum #Bardhaman #howrah #Purulia #Nadia #Hooghly #Bankura #Paschim #Purva @BJP4Bengal #BJP4Bengal #RSSfightsCorona
Aarogya Setu app to fight against COVID19. Download and share it using this link Android : 
https://t.co/THvKjgiZWk",Bengali WestBengal Kolkata Murshidabad Birbhum Bardhaman howrah Purulia Nadia Hooghly Bankura Paschim Purva BJPBengal BJPBengal RSSfightsCorona Aarogya Setu app to fight against COVID Download and share it using this link Android,2020-04-07 06:56:35,en,0,0,0,0,True,weakly_negative,0.44865
7,1239989002565910528,"['westbengal', 'coronavirusindia']",['https://twitter.com/i/web/status/1239989002565910528'],"#Westbengal reports first corona virus case. Student who returned from UK.        #coronavirusindia #CoronaVirusUpdates

 https://t.co/7BlZ3Ujwr5

Shared by The IndianExpress iOS App. Click here to download
 https://t.co/8mUKiEVmYE",Westbengal reports first corona virus case Student who returned from UK coronavirusindia CoronaVirusUpdates Shared by The IndianExpress iOS App Click here to download,2020-03-17 18:56:30,en,0,0,0,0,True,weakly_positive,0.67
8,1248727017643597825,['bengal'],['https://true-indology.in/recent-updates/west-bengal-government-sets-up-data-analysis-cell-to-contain-coronavirus-covid-19-pandemic/?feed_id=9633&_unique_id=5e90e74795580'],"West Bengal government sets up data analysis cell to contain coronavirus COVID-19 pandemic#analysis #bengal...
https://t.co/LwSUC31j3I",West Bengal government sets up data analysis cell to contain coronavirus COVID pandemicanalysis bengal,2020-04-10 21:38:15,en,0,0,0,0,True,neutral,0.5
9,1248431822754594817,"['westbengal', 'data']",['https://twitter.com/i/web/status/1248431822754594817'],"A much awaited welcome step by the #WestBengal govt. A #Data analysis cell to identify current n potential hotspots, advise random n aggressive testing+ project outbreaks. https://t.co/HB4ue8FGr2 @ttindia @sghstory 
#IndiaFightsCorona #Covid_19india #BengalFightsCorona",A much awaited welcome step by the WestBengal govt A Data analysis cell to identify current n potential hotspots advise random n aggressive testing project outbreaks ttindia sghstory IndiaFightsCorona Covidindia BengalFightsCorona,2020-04-10 02:05:15,en,0,0,0,0,True,weakly_positive,0.6591
10,1247092266268643328,"['covid', 'westbengal']",['https://twitter.com/i/web/status/1247092266268643328'],Why is Mamata Banerjee hiding the #COVID19 figures of the state of #WestBengal? Why is the data being hidden/fudged by the State Government? https://t.co/RJUbLWvbTy,Why is Mamata Banerjee hiding the COVID figures of the state of WestBengal Why is the data being hiddenfudged by the State Government,2020-04-06 09:22:20,en,0,2,9,9,True,weakly_negative,0.352
11,1247807835557117957,['westbengal'],['https://twitter.com/i/web/status/1247807835557117957'],"Alarming: Did community transmission already start in #WestBengal? 

One thing is sure. We'll NOT get any authentic, genuine data &amp; feedback from the WB Government. 

People of WB must live on their own common sense. @tathagata2
https://t.co/KMgjZDMkYE",Alarming Did community transmission already start in WestBengal One thing is sure Well NOT get any authentic genuine data amp feedback from the WB Government People of WB must live on their own common sense tathagata,2020-04-08 08:45:45,en,0,0,0,0,True,positive,0.7202
