,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache
0,1249644898728513537,"['cumartesi', 'hot']",['https://twitter.com/i/web/status/1249644898728513537'],"RETWEET , FOLLOW , LIKE , AND COMMENT WHEN YOUR DONE FOR A DISCOUNT OFF MY PREMIUM SNAPCHAT BABES ! #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful https://t.co/Fq9IL2veEI",RETWEET FOLLOW LIKE AND COMMENT WHEN YOUR DONE FOR A DISCOUNT OFF MY PREMIUM SNAPCHAT BABES cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful,2020-04-13 10:25:35,en,Gin 🙈,Blessed🤍 Dm me for my premium snapchat !,,0,0,1,1,True
1,1241664688938782721,"['streetsoldiers', 'hot']",['https://twitter.com/i/web/status/1241664688938782721'],"Coming up at 7a! Join us at a special time for our #streetsoldiers #hot97
special “Coping with Coronavirus” on HOT 97/97.1FM NYC &amp; live stream worldwide on free HOT 97 app &amp; https://t.co/HOpFrND9NV  Tweet me your questions for our expert guests!  @Street_soldiers @HOT97 https://t.co/fubPzbcK7f",Coming up at a Join us at a special time for our streetsoldiers hot special Coping with Coronavirus on HOT FM NYC amp live stream worldwide on free HOT app amp Tweet me your questions for our expert guests Streetsoldiers HOT,2020-03-22 09:55:05,en,Lisa Evers,FOX5NY News Reporter & Host of the 2019 EMMY NOMINATED FOX5/HOT97 STREET SOLDIERS Show. I ♥️ life💥people💥hip hop💥tennis💥martial arts 💥lisa.evers@foxtv.com,New York City ,0,0,0,0,True
2,1249635486949408769,"['cumartesi', 'hot', 'wet', 'horny']",['https://twitter.com/i/web/status/1249635486949408769'],Who wants to see me naked ? Dm ne now for a discount for my private pics 🙈😘 #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful #sugardaddyneededasap https://t.co/WlLCKRs7AB,Who wants to see me naked Dm ne now for a discount for my private pics cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful sugardaddyneededasap,2020-04-13 09:48:11,en,Gin Martinez 🤍,,,0,0,0,0,True
3,1249644306933129216,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus']",['https://twitter.com/i/web/status/1249644306933129216'],Got twitter again ! DM me for some private pics or videos bubbas &lt;3 #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful https://t.co/oX8J0mkFYn,Got twitter again DM me for some private pics or videos bubbas lt cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful,2020-04-13 10:23:14,en,Gin 🙈,Blessed🤍 Dm me for my premium snapchat !,,0,0,0,0,True
4,1249635276063997952,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus']",['https://twitter.com/i/web/status/1249635276063997952'],Im bored and its late :/ anyone up and want to talk dirty ? DM me babes #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful #sugardaddyneededasap https://t.co/Zj7U8ON0Rl,Im bored and its late anyone up and want to talk dirty DM me babes cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful sugardaddyneededasap,2020-04-13 09:47:21,en,Gin Martinez 🤍,,,0,0,0,0,True
5,1249644449828868097,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus', 'premiumsnap']",['https://twitter.com/i/web/status/1249644449828868097'],"Throwback to those beach days , my body looked so good here ! #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful https://t.co/1GCXMUOlpJ",Throwback to those beach days my body looked so good here cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful,2020-04-13 10:23:48,en,Gin 🙈,Blessed🤍 Dm me for my premium snapchat !,,0,0,0,0,True
6,1249648731382845440,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus', 'premiumsnap', 'premium']",['https://twitter.com/i/web/status/1249648731382845440'],Heres a cute selfie of me :) Rate me from 1-10 😘 #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful https://t.co/jqUg38CNiD,Heres a cute selfie of me Rate me from cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful,2020-04-13 10:40:49,en,Gin 🙈,Blessed🤍 Dm me for my premium snapchat !,,0,0,1,3,True
7,1249715894990880768,"['cumartesi', 'hot', 'wet', 'horny']",['https://twitter.com/i/web/status/1249715894990880768'],The LIGHTING HERE THOOOO!!! DM me now cashapp ready for private pics of your choice 🙈😘 #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful #sugardaddyneededasap https://t.co/SkJiNMbqBH,The LIGHTING HERE THOOOO DM me now cashapp ready for private pics of your choice cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful sugardaddyneededasap,2020-04-13 15:07:42,en,Gineva Martinez 🤍,-19 || Carita de Angel 😇 || DM me for my premium snapchat !,,0,0,0,0,True
8,1249629396648017921,"['cumartesi', 'hot']",['https://twitter.com/i/web/status/1249629396648017921'],"Really miss the beach man , quarantine is BORING and i have nobody to talk to :/ DM me im bored ! #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful #sugardaddyneededasap https://t.co/II9PaLYGn6",Really miss the beach man quarantine is BORING and i have nobody to talk to DM me im bored cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful sugardaddyneededasap,2020-04-13 09:23:59,en,Gin Martinez 🤍,,,0,0,0,0,True
9,1251545898686902278,"['hot', 'maharashtra']",['https://twitter.com/i/web/status/1251545898686902278'],"Early trends for the 5 #hot districts in #Maharashtra based on today evenings data. 

They make up 91% of the #coronavirus confirmed cases.
#Pune &amp; #Palghar aren't really slowing, rest seem to be.

Let us all really respect the #lockdown 

#StayHomeStaySafe 
#MahaHotSpotsInDanger https://t.co/suKBKFUGt0",Early trends for the hot districts in Maharashtra based on today evenings data They make up of the coronavirus confirmed cases Pune amp Palghar arent really slowing rest seem to be Let us all really respect the lockdown StayHomeStaySafe MahaHotSpotsInDanger,2020-04-18 16:19:29,en,Sahil Deo,"quantitative social scientist | co-founder @cpceu | mpp @thehertieschool, dropout @IITGuwahati opinions & errors are my own. all the usual disclaimers apply.",Pune & Berlin,0,1,16,29,True
10,1247735262702112769,"['coronavirus', 'data', 'hot', 'readuseful']",['https://lateststories.readuseful.com/coronavirus-data-story-tracks-hot-spots-around-the-world-and-in-the-us-readuseful/'],"Post Edited: Coronavirus knowledge story tracks sizzling spots around the 
#coronavirus #Data #Hot #ReadUseful
https://t.co/MXKhCXQKym",Post Edited Coronavirus knowledge story tracks sizzling spots around the coronavirus Data Hot ReadUseful,2020-04-08 03:57:23,en,Read Useful,,,0,0,0,0,True
11,1249638644765384705,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus', 'premiumsnap', 'premium', 'privacy', 'sexy']",['https://twitter.com/i/web/status/1249638644765384705'],Guess my favorite color☺️ #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful #sugardaddyneededasap https://t.co/b8AZHRbKKD,Guess my favorite color cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful sugardaddyneededasap,2020-04-13 10:00:44,en,Gin Martinez 🤍,,,0,0,0,0,True
12,1249644723146547203,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus', 'premiumsnap', 'premium', 'privacy', 'sexy']",['https://twitter.com/i/web/status/1249644723146547203'],Who wants to go on the boat with me ? #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful https://t.co/8mcqJj7IYA,Who wants to go on the boat with me cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful,2020-04-13 10:24:53,en,Gin 🙈,Blessed🤍 Dm me for my premium snapchat !,,0,0,0,0,True
13,1249648585567862784,"['cumartesi', 'hot', 'wet', 'horny', 'coronavirus', 'premiumsnap', 'premium', 'privacy']",['https://twitter.com/i/web/status/1249648585567862784'],"MY BODY HERE WAS SO NICE WOW , DM ME BABES #cumartesi #hot #wet #horny #coronavirus #premiumsnap #premium #privacy #sexy #Cashappblessing #love #Kinkyboots  #booty #beautiful https://t.co/Qg0He5l25S",MY BODY HERE WAS SO NICE WOW DM ME BABES cumartesi hot wet horny coronavirus premiumsnap premium privacy sexy Cashappblessing love Kinkyboots booty beautiful,2020-04-13 10:40:14,en,Gin 🙈,Blessed🤍 Dm me for my premium snapchat !,,0,0,0,0,True
